Network          Next Hop            Metric LocPrf Weight Path

Route Distinguisher: 7303:646

*>i  10.122.35.96/29  181.88.172.158           0    100      0 65011 ?

*>i  10.122.35.104/29 190.225.250.50           0    100      0 ?

*>i  10.122.35.120/29 181.88.172.220           0    100      0 ?

*>i  10.122.35.128/29 181.88.172.199           0    100      0 ?

*>i  10.122.35.136/29 181.88.172.183           0    100      0 ?

*>i  10.122.35.144/29 181.88.172.158           0    100      0 ?

*>i  10.122.35.152/29 181.88.172.181           0    100      0 ?

*>i  10.122.35.200/29 181.88.172.183           0    100      0 ?

*>i  10.122.35.208/29 181.88.172.183           0    100      0 ?

*>i  10.122.35.232/29 181.88.172.189           0    100      0 ?

*>i  10.122.35.240/29 181.88.172.183           0    100      0 ?

     Network          Next Hop            Metric LocPrf Weight Path

*>i  10.122.35.248/29 181.88.172.199           0    100      0 ?

*>i  10.122.36.0/29   181.88.172.183           0    100      0 ?

*>i  10.122.36.12/32  181.88.172.183           0    100      0 ?

*>i  10.122.36.13/32  181.88.172.183           0    100      0 ?

*>i  10.122.36.36/32  190.225.250.50           0    100      0 ?

*>i  10.122.36.37/32  190.225.250.50           0    100      0 ?

*>i  10.122.36.40/32  181.88.172.183           0    100      0 ?

